ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_031306065.1_ASM3130606v1,Pseudopyricularia cyperi,Cr9010,PRJNA926786,1578920,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pseudopyricularia,Pseudopyricularia cyperi,F4C0C774
GCA_031001725.1_ASM3100172v1,Pseudopyricularia javani,CrA8401,PRJNA926786,3023521,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pseudopyricularia,Pseudopyricularia javani,FDB6AB81
GCA_019804575.2_ASM1980457v2,Pseudotulostoma volvatum,6Q3QHG6JMA,PRJNA328806,144541,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Elaphomycetaceae,Pseudotulostoma,Pseudotulostoma volvatum,FC9CB793
GCA_040803465.1_ASM4080346v1,Pseudoverpa anthracobia,ACD0563,PRJNA994929,2107762,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Pseudoverpa,Pseudoverpa anthracobia,F86FBC68
GCF_010093815.1_Psehy1,Pseudovirgaria hyperparasitica,CBS 121739,PRJNA245627,470096,dikarya,Ascomycota,,Dothideomycetes,,Acrospermales,Acrospermaceae,Pseudovirgaria,Pseudovirgaria hyperparasitica,F6CDA0F3
GCF_000417875.1_Pflocc_1.0,Pseudozyma flocculosa PF-1,PF-1,PRJNA185206,1277687,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma flocculosa,F66A4788
GCF_000403515.1_ASM40351v1,Pseudozyma hubeiensis SY62,SY62,PRJDB993,1305764,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma hubeiensis,F025832A
GCA_023212685.1_ASM2321268v1,Pseudozyma pruni,CBS 10937,PRJNA816553,1652704,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma pruni,FFBF3543
GCA_003004685.1_ASM300468v1,Pseudozyma sp. F8B2,F8B2,PRJNA408120,2039271,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma sp. F8B2,F4D1177D
GCA_037039655.1_ASM3703965v1,Pseudozyma sp. M118-08B,M118-08B,PRJNA833221,3092702,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma sp. M118-08B,F8198CF6
GCA_023212835.1_ASM2321283v1,Pseudozyma thailandica,CBS 10006,PRJNA816553,203535,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma thailandica,F08BED7C
GCA_001736125.1_ASM173612v1,Pseudozyma tsukubaensis,NBRC 1940,PRJNA325852,5483,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Pseudozyma,Pseudozyma tsukubaensis,FE1FD3AA
GCA_040207355.1_EGAP_PsAll_1,Psilocybe allenii,FT_PsAlle-01_psal1,PRJNA1013220,1234797,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe allenii,F8A9E15D
GCA_023853785.1_Pazu_FSU_13761_1.0,Psilocybe azurescens,FSU 13761,PRJNA779034,93624,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe azurescens,F9DCE0FF
GCA_040207415.1_EGAP_PsCrl_1,Psilocybe caeruleorhiza,160500191_JJPCAE-M_D4_1,PRJNA1013220,3027140,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe caeruleorhiza,F6FF1274
GCA_013368295.1_LU_PSS_1.0,Psilocybe cf. subviscida,CBS 101986,PRJNA496359,2480587,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe cf. subviscida,FD344C6D
GCF_017499595.1_MGC_Penvy_1,Psilocybe cubensis,MGC-MH-2018,PRJNA700437,181762,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe cubensis,F6EE9E7F
GCA_002938375.1_Psicy2,Psilocybe cyanescens,2631,PRJNA387735,93625,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe cyanescens,F668A0AF
GCA_019721455.1_ASM1972145v1,Psilocybe galindoi,Georgia-2-SW,PRJNA700437,2862369,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe galindoi,FDC07453
GCA_040207425.1_EGAP_PsGnd_1,Psilocybe maluti,494175_JJUP-M_B1_3,PRJNA1013220,3120211,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe maluti,FD084762
GCA_023853805.1_Pmex_FSU_13617_1.0,Psilocybe mexicana,FSU 13617,PRJNA779034,891396,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe mexicana,FE4FB096
GCA_040207485.1_EGAP_PsSem_1,Psilocybe semilanceata,141588727_JJPSEM-M_A1_3,PRJNA1013220,181775,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe semilanceata,FA85CB11
GCA_040804775.1_ASM4080477v1,Psilocybe subaeruginosa,BRIP75296,PRJNA977418,181776,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe subaeruginosa,F7172F1F
GCA_019904355.1_ASM1990435v1,Psilocybe tampanensis,sample3,PRJNA700437,209853,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe tampanensis,FDC55158
GCA_040207405.1_EGAP_PsZap_1,Psilocybe zapotecorum,36797577_XRCPCJ01_C1_3,PRJNA1013220,1418860,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Strophariaceae,Psilocybe,Psilocybe zapotecorum,F86039F6
GCA_004369125.1_Ptegra1,Pterula gracilis,CBS 309.79,PRJNA333969,1884261,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Pterulaceae,Pterula,Pterula gracilis,F8076B0E
GCA_900068985.1_Pterula_subulata-8,Pterula multifida,,PRJEB8570,1617102,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Pterulaceae,Pterula,Pterula multifida,FDA644E4
GCA_022814105.1_ASM2281410v1,Ptychographa xylographoides,T1868,PRJNA795879,223409,dikarya,Ascomycota,,Lecanoromycetes,,Trapeliales,Trapeliaceae,Ptychographa,Ptychographa xylographoides,F7164EF4
GCA_019395275.1_ASM1939527v1,Puccinia brachypodii,F-Fl,PRJNA313246,27343,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia brachypodii,F9BFB2A6
GCA_002873125.1_ASM287312v1,Puccinia coronata f. sp. avenae,12SD80,PRJNA398546,200324,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia coronata,F58F52F4
GCF_000149925.1_ASM14992v1,Puccinia graminis f. sp. tritici CRL 75-36-700-3,CRL 75-36-700-3,PRJNA18535,418459,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia graminis,F495AC09
GCA_007896445.1_ASM789644v1,Puccinia hordei,560,PRJNA495764,27345,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia hordei,FE596CFF
GCA_001624995.1_ASM162499v1,Puccinia horiana,SC2014G01,PRJNA306202,331382,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia horiana,F27FD0A3
GCA_004348175.1_PNOVO_Noble_KM,Puccinia novopanici,Ard-01,PRJNA507656,1904429,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia novopanici,F85C0CDC
GCA_025617555.3_ASM2561755v3,Puccinia polysora,GD1913,PRJNA881038,684837,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia polysora,F1CF758D
GCA_001263375.1_ASM126337v1,Puccinia sorghi,RO10H11247,PRJNA277993,27349,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia sorghi,FD825FFB
GCF_021901695.1_Pst134E36_v1_pri,Puccinia striiformis f. sp. tritici,134E16A+17+33+,PRJNA749614;PRJNA765334,168172,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia striiformis,FD18E191
GCF_026914185.1_ASM2691418v1,Puccinia triticina,Pt15,PRJNA848635;PRJNA879760,208348,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Puccinia,Puccinia triticina,F442250F
GCA_038089795.1_NY575842-Boletus-neoregius,Pulchroboletus neoregius,NY575842,PRJNA1022813,1282274,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulchroboletus,Pulchroboletus neoregius,F362ACE1
GCA_038094595.1_BD784-Pulveroboletus-sp1,Pulveroboletus aff. annulatus,UT-M0000386,PRJNA1022813,2842279,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus aff. annulatus,FC60ED31
GCA_038094195.1_BD870-Pulveroboletus-sp2,Pulveroboletus aff. carminiporus,UT-M0000361,PRJNA1022813,3095533,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus aff. carminiporus,F19B0EBE
GCA_038094035.1_BTNG24,Pulveroboletus aff. ridleyi,TRTC175146,PRJNA1022813,3095535,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus aff. ridleyi,F3A92C39
GCA_038088935.1_TH9221-Pulveroboletus-viridisquamosus,Pulveroboletus aff. viridisquamosus,G4423,PRJNA1022813,3095549,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus aff. viridisquamosus,FC62FF01
GCA_038094155.1_BD872-Tylopilus-sp7,Pulveroboletus cf. aberrans,UT-M0000365,PRJNA1022813,1745187,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus cf. aberrans,F440553C
GCA_038089275.1_TH10065-Pulveroboletus-cf-rosemariae,Pulveroboletus cf. rosaemariae,G4403,PRJNA1022813,3095547,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus cf. rosaemariae,F363F9A1
GCA_038090515.1_Mulu38-Pulveroboletus-cf-viridisquamosus,Pulveroboletus cf. viridisquamosus,KM173163,PRJNA1022813,3095543,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus cf. viridisquamosus,F20F018F
GCA_038089395.1_SB01-Pulveroboletus-frians,Pulveroboletus frians,UT-M0002064,PRJNA1022813,3095522,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus frians,F446A2F0
GCA_038090235.1_NY2072397-Pulveroboletus-ravenelii,Pulveroboletus ravenelii,NY2072397,PRJNA1022813,80668,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus ravenelii,F852612F
GCA_038089355.1_SWK188-Pulveroboletus-cf-ridleyi,Pulveroboletus ridleyi,TRTC168367,PRJNA1022813,2015389,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Pulveroboletus,Pulveroboletus ridleyi,F8A8A1B7
GCF_000264995.1_Punctularia_strigosozonata_v1.0,Punctularia strigosozonata HHB-11173 SS5,HHB-11173 SS5,PRJNA52407,741275,dikarya,Basidiomycota,,Agaricomycetes,,Corticiales,Punctulariaceae,Punctularia,Punctularia strigosozonata,FC46F41A
GCA_029168975.1_ASM2916897v1,Purpureocillium lavendulum,YMF1.00683,PRJNA916066,1247861,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lavendulum,F2E2B494
GCF_023168085.1_PurlilCBS_1.0,Purpureocillium lilacinum,CBS 284.36,PRJDB10251,33203,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum,F11E4BAA
GCF_022605165.1_ASM2260516v1,Purpureocillium takamizusanense,PT3,PRJNA685267,2060973,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium takamizusanense,FA56ABAB
GCA_022814085.1_ASM2281408v1,Puttea exsequens,T1888,PRJNA795879,2918520,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,,Puttea,Puttea exsequens,FDFB3D05
GCA_026026765.1_ASM2602676v1,Pycnora praestabilis,Spribille s.n. 21.07.2019_TS-e1952,PRJNA833438,1453791,dikarya,Ascomycota,,Candelariomycetes,,Candelariales,Pycnoraceae,Pycnora,Pycnora praestabilis,FCA1EBEE
GCA_001644535.1_Pyrsp1,Pyrenochaeta sp. DS3sAY3a,DS3sAY3a,PRJNA255591,765867,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta sp. DS3sAY3a,FD29E4FF
GCA_020747015.1_Pyrly1,Pyrenochaeta sp. MPI-SDFR-AT-0127,MPI-SDFR-AT-0127,PRJNA347196,2829485,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta sp. MPI-SDFR-AT-0127,F291B200
GCA_000359685.2_ASM35968v2,Pyrenochaeta sp. UM 256,UM 256,PRJNA189754,1295359,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta sp. UM 256,FA05A6B1
GCA_012365135.1_ASM1236513v1,Pyrenophora graminea,CBS 336.29,PRJNA373892,5028,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Pyrenophora,Pyrenophora graminea,FCCA4CD8
GCA_000465215.2_Pysem1.0,Pyrenophora seminiperda CCB06,CCB06,PRJNA192591,1302712,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Pyrenophora,Pyrenophora seminiperda,F9B24E3A
GCA_014334815.1_ASM1433481v1,Pyrenophora teres f. maculata,P-A14,PRJNA417860,97480,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Pyrenophora,Pyrenophora teres,F572A504
GCF_003171515.1_CUR_PTRM4_2.2,Pyrenophora tritici-repentis,M4,PRJNA315205,45151,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Pleosporaceae,Pyrenophora,Pyrenophora tritici-repentis,F164FF43
GCA_902806595.1_PH,Pyrenopolyporus hunteri,MUCL 49339,PRJEB36696,1955263,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Pyrenopolyporus,Pyrenopolyporus hunteri,F39DE4BC
GCA_021030945.1_ASM2103094v1,Pyrenula aspistea,KRB14,PRJNA714743,427130,dikarya,Ascomycota,,Eurotiomycetes,,Pyrenulales,Pyrenulaceae,Pyrenula,Pyrenula aspistea,FC717AC5
GCA_021030905.1_ASM2103090v1,Pyrenula massariospora,TSL107,PRJNA714927,1229178,dikarya,Ascomycota,,Eurotiomycetes,,Pyrenulales,Pyrenulaceae,Pyrenula,Pyrenula massariospora,F81AE428
GCF_004355905.1_PgNI,Pyricularia grisea,NI907,PRJNA507314,148305,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia grisea,F456CF12
GCF_000002495.2_MG8,Pyricularia oryzae 70-15,70-15,PRJNA13840,242507,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia oryzae,F4BF9E30
GCF_004337985.1_PpBr36,Pyricularia pennisetigena,Br36,PRJNA507314,1578925,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia pennisetigena,F6BE5195
GCA_019328425.1_ASM1932842v1,Pyricularia sp. 18-2,18-2,PRJNA741858,2853973,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia sp. 18-2,FD8DE02F
GCA_004337975.1_PspLS,Pyricularia sp. CBS 133598,NI919,PRJNA507314,403063,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia sp. CBS 133598,FA877B98
GCA_031306095.1_ASM3130609v1,Pyricularia sp. CD86,CD86,PRJNA926786,3044413,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia sp. CD86,F4D0033A
GCA_031211305.1_ASM3121130v1,Pyricularia urashimae,UbJA125,PRJNA926786,1960856,dikarya,Ascomycota,,Sordariomycetes,,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia urashimae,F179D8A2
GCA_024516145.1_Pyrdom1,Pyronema domesticum,CBS 144463,PRJNA556281,47205,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Pyronemataceae,Pyronema,Pyronema domesticum,FAF7D0FC
GCA_024516155.1_Pyrom1,Pyronema omphalodes,CBS 144459,PRJNA368372,337075,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Pyronemataceae,Pyronema,Pyronema omphalodes,FA196355
GCA_002287475.2_ASM228747v2,Pyrrhoderma noxium,FFPRI411160,PRJNA377805,2282107,dikarya,Basidiomycota,,Agaricomycetes,,Hymenochaetales,Hymenochaetaceae,Pyrrhoderma,Pyrrhoderma noxium,F7146C1E
GCA_027596845.1_ASM2759684v1,Quaeritorhiza haematococci,JEL0916,PRJNA629978,2654861,fungi,Chytridiomycota,,Chytridiomycetes,,,Quaeritorhizaceae,Quaeritorhiza,Quaeritorhiza haematococci,F30D4C03
GCA_004016185.1_ASM401618v1,Quambalaria eucalypti,CMW1101,PRJNA507544,363177,dikarya,Basidiomycota,,Exobasidiomycetes,,Microstromatales,Quambalariaceae,Quambalaria,Quambalaria eucalypti,FAB2FA7C
GCA_035927975.1_ASM3592797v1,Rachicladosporium monterosium,CCFEE 5386,PRJNA666634,1507873,dikarya,Ascomycota,,Dothideomycetes,,Cladosporiales,Cladosporiaceae,Rachicladosporium,Rachicladosporium monterosium,FA016F9F
GCA_002077045.2_ASM207704v2,Rachicladosporium sp. CCFEE 5018,CCFEE 5018,PRJNA342238,1974281,dikarya,Ascomycota,,Dothideomycetes,,Cladosporiales,Cladosporiaceae,Rachicladosporium,Rachicladosporium sp. CCFEE 5018,FDDB0F6D
GCA_910592135.1_Racocetra_fulgida_IN212,Racocetra fulgida,IN212,PRJEB45340,60492,mucoromycota,Mucoromycota,,Glomeromycetes,,Diversisporales,Gigasporaceae,Racocetra,Racocetra fulgida,FBDE6CDC
GCA_910592285.1_Racocetra_persica_MA461A,Racocetra persica,MA461A,PRJEB45340,160502,mucoromycota,Mucoromycota,,Glomeromycetes,,Diversisporales,Gigasporaceae,Racocetra,Racocetra persica,F18B2F03
GCA_014905255.1_Rac_1.0,Racodium therryanum,Rac09Pj11-1,PRJDB10036,2684246,dikarya,Ascomycota,,Dothideomycetes,,Racodiales,Racodiaceae,Racodium,Racodium therryanum,F175098E
GCF_025331425.1_Radspe1,Radiomyces spectabilis,NRRL 2753,PRJNA366636,64574,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Radiomycetaceae,Radiomyces,Radiomyces spectabilis,FA45611F
GCA_002778245.1_ASM277824v1,Raffaelea albimanens,CBS 271.70,PRJNA395605,45341,dikarya,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea albimanens,FF860BEF
GCA_002778195.1_ASM277819v1,Raffaelea ambrosiae,CBS 185.64,PRJNA395605,45346,dikarya,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea ambrosiae,FB86618E
GCA_002778165.1_ASM277816v1,Raffaelea arxii,CBS 273.70,PRJNA395605,45342,dikarya,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea arxii,FEC32B27
GCA_019925385.1_ASM1992538v1,Raffaelea deltoideospora,VPRI43720,PRJNA667796,577119,dikarya,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea deltoideospora,F75D4FAC
GCA_002777955.1_ASM277795v1,Raffaelea sp. RL272,RL272,PRJNA395605,2036197,dikarya,Ascomycota,,Sordariomycetes,,Ophiostomatales,Ophiostomataceae,Raffaelea,Raffaelea sp. RL272,FCB63870
GCA_029948375.1_ASM2994837v1,Ramalina farinacea,LIQ254RAFAR,PRJNA890456,258253,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Ramalina,Ramalina farinacea,F603B15E
GCA_003073195.1_RamPxa02_v1.0,Ramalina intermedia,YAF0013,PRJNA416400,86788,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Ramalina,Ramalina intermedia,FCC980C4
GCA_001956345.1_RamPxa01_v1,Ramalina peruviana,YAF0012,PRJNA358650,475428,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Ramalinaceae,Ramalina,Ramalina peruviana,F7A6B261
GCA_003316465.1_ASM331646v1,Ramaria cf. rubripermanens,MG17,PRJNA454572,2016387,dikarya,Basidiomycota,,Agaricomycetes,,Gomphales,Gomphaceae,Ramaria,Ramaria cf. rubripermanens,FBC988D6
GCA_015039355.1_Ramac1,Ramaria rubella,UT-36052-T,PRJNA196021,113071,dikarya,Basidiomycota,,Agaricomycetes,,Gomphales,Gomphaceae,Ramaria,Ramaria rubella,F90B61AA
GCA_003314545.1_ASM331454v1,Ramaria sp. MG151,MG151,PRJNA454572,2175970,dikarya,Basidiomycota,,Agaricomycetes,,Gomphales,Gomphaceae,Ramaria,Ramaria sp. MG151,F3B564FE
GCA_025201865.1_Rambr1,Ramicandelaber brevisporus,CBS 109374,PRJNA251765,304332,fungi,Zoopagomycota,,,,Ramicandelaberales,Ramicandelaberaceae,Ramicandelaber,Ramicandelaber brevisporus,F7FE4923
GCA_002368545.1_ASM236854v1,Ramichloridium luteum,CPC 18961,PRJNA328911,508918,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Dissoconiaceae,Ramichloridium,Ramichloridium luteum,F2549BC5
GCA_013461505.1_ASM1346150v1,Ramularia coccinea,NJWW,PRJNA635204,475927,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Ramularia,Ramularia coccinea,F3459717
GCF_900074925.1_version_1,Ramularia collo-cygni,URUG2,PRJEB12938,112498,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Ramularia,Ramularia collo-cygni,F4CF2465
GCA_002116395.1_ASM211639v1,Ramularia endophylla CBS 113265,CBS 113265,PRJNA212508,1367538,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Ramularia,Ramularia punctiformis,F25C9B55
GCA_963694915.1_CB27_Tmax.45,Ramulispora sorghi f. maydis,,PRJEB57575,161743,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Ramulispora,Ramulispora sorghi,F05EA85A
GCF_000968595.1_ASM96859v1,Rasamsonia emersonii CBS 393.64,CBS 393.64,PRJNA222976,1408163,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia emersonii,FB2EE30E
GCF_035927965.1_ASM3592796v1,Recurvomyces mirabilis,CCFEE 5264,PRJNA666634,574656,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Recurvomyces,Recurvomyces mirabilis,F5218E9B
GCA_038089835.1_NY354083-Retiboletus-flavoniger,Retiboletus flavoniger,NY354083,PRJNA1022813,2182574,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Retiboletus,Retiboletus flavoniger,FE3BF694
GCA_038093795.1_DLT08-087-Retiboletus-fuscus,Retiboletus fuscus,TRTC157162,PRJNA1022813,1775113,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Retiboletus,Retiboletus fuscus,F9959B12
GCA_003316065.1_ASM331606v1,Retiboletus ornatipes,MG30,PRJNA454572,1282276,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Retiboletus,Retiboletus ornatipes,F6AA0582
GCA_001557505.1_ASM155750v1,Reticulascus tulasneorum,NRRL18230,PRJNA309908,1028407,dikarya,Ascomycota,,Sordariomycetes,,Glomerellales,Reticulascaceae,Reticulascus,Reticulascus tulasneorum,FE9BC07A
GCA_020746875.1_Rhesp1,Rhexocercosporidium sp. MPI-PUGE-AT-0058,MPI-PUGE-AT-0058,PRJNA347195,2042821,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Rhexocercosporidium,Rhexocercosporidium sp. MPI-PUGE-AT-0058,F92D9885
GCF_000835555.1_Rhin_mack_CBS_650_93_V1,Rhinocladiella mackenziei CBS 650.93,CBS 650.93,PRJNA233315,1442369,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Rhinocladiella mackenziei,FD0576CE
GCA_024082115.1_ASM2408211v1,Rhinocladiella similis,Poitiers_1,PRJNA847151,319420,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Rhinocladiella similis,F8FA429B
GCA_002104985.1_Rhihy1,Rhizoclosmatium globosum,JEL800,PRJNA330693,329046,fungi,Chytridiomycota,,Chytridiomycetes,,Chytridiales,Chytriomycetaceae,Rhizoclosmatium,Rhizoclosmatium globosum,F87CC697
GCA_027596175.1_ASM2759617v1,Rhizoclosmatium hyalinum,JEL0917,PRJNA619746,2724196,fungi,Chytridiomycota,,Chytridiomycetes,,Chytridiales,Chytriomycetaceae,Rhizoclosmatium,Rhizoclosmatium hyalinum,FF0D8030
GCA_027604365.1_ASM2760436v1,Rhizoclosmatium sp. JEL0117,JEL0117,PRJNA619726,2784343,fungi,Chytridiomycota,,Chytridiomycetes,,Chytridiales,Chytriomycetaceae,Rhizoclosmatium,Rhizoclosmatium sp. JEL0117,F1760C57
GCF_016906535.1_ASM1690653v1,Rhizoctonia solani,AG-1 IA,PRJNA624219,456999,dikarya,Basidiomycota,,Agaricomycetes,,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia solani,FBCA8C74
GCA_040367235.1_JCM_30689_assembly_v001,Rhizodermea veluwensis,JCM 30689,PRJDB3709,859387,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Dermateaceae,Rhizodermea,Rhizodermea veluwensis,F60A2F61
GCA_010015805.1_Rhili1,Rhizodiscina lignyota,CBS 133067,PRJNA263052,1504668,dikarya,Ascomycota,,Dothideomycetes,,Aulographales,Rhizodiscinaceae,Rhizodiscina,Rhizodiscina lignyota,F120F08E
